Player,Team,Minutes
ey9xcgpxzvtoi0q973y1miuqc,Sevilla,1.0
f2la9xekdpt2ni3v22tlslii1,Atlético Madrid,23.0
fu9ab6roj0yeyr7c0tizygut,Madrid,20.0
ji7dle8m8gdw3zi5r6l1n9qs,Deportivo La Coruña,103.0
sajxpypxygu608bx3j02yivo,Logroño,54.0
tfni0bbycqnutwdofnndixd6,Sevilla,169.0
uw9iyklqljuminu89utfq295,Badalona,21.0
w3vjdjxeuaauh8na84fkwhuy,Real Sociedad,13.0
xa2t4w7bc0u17feyc0uqqz2s,Barcelona,35.0
xe4xwqsd55oifhmj8azc8oic,Tenerife,42.0
